Date,Product,Sales,Inventory,Price
2025-09-18,Alpha Headphones,87,333,79.0
2025-09-19,Alpha Headphones,82,251,79.0
2025-09-20,Alpha Headphones,110,141,79.0
2025-09-21,Alpha Headphones,82,59,79.0
2025-09-22,Alpha Headphones,80,480,79.0
2025-09-23,Alpha Headphones,82,398,79.0
2025-09-24,Alpha Headphones,88,310,79.0
2025-09-25,Alpha Headphones,76,234,79.0
2025-09-26,Alpha Headphones,90,144,79.0
2025-09-27,Alpha Headphones,103,41,79.0
2025-09-28,Alpha Headphones,82,0,79.0
2025-09-29,Alpha Headphones,76,481,79.0
2025-09-30,Alpha Headphones,70,411,79.0
2025-10-01,Alpha Headphones,74,337,79.0
2025-10-02,Alpha Headphones,87,250,79.0
2025-10-03,Alpha Headphones,93,157,79.0
2025-10-04,Alpha Headphones,109,48,79.0
2025-10-05,Alpha Headphones,90,0,79.0
2025-10-06,Alpha Headphones,82,482,79.0
2025-10-07,Alpha Headphones,69,413,79.0
2025-10-08,Alpha Headphones,86,327,79.0
2025-10-09,Alpha Headphones,88,239,79.0
2025-10-10,Alpha Headphones,89,150,79.0
2025-10-11,Alpha Headphones,107,43,79.0
2025-10-12,Alpha Headphones,98,0,79.0
2025-10-13,Alpha Headphones,73,483,79.0
2025-10-14,Alpha Headphones,71,412,79.0
2025-10-15,Alpha Headphones,73,339,79.0
2025-10-16,Alpha Headphones,92,247,79.0
2025-10-17,Alpha Headphones,95,152,79.0
2025-10-18,Alpha Headphones,125,27,79.0
2025-10-19,Alpha Headphones,93,0,79.0
2025-10-20,Alpha Headphones,77,483,79.0
2025-10-21,Alpha Headphones,88,395,79.0
2025-10-22,Alpha Headphones,78,317,79.0
2025-10-23,Alpha Headphones,86,231,79.0
2025-10-24,Alpha Headphones,100,131,79.0
2025-10-25,Alpha Headphones,120,11,79.0
2025-10-26,Alpha Headphones,96,0,79.0
2025-10-27,Alpha Headphones,78,484,79.0
2025-10-28,Alpha Headphones,83,401,79.0
2025-10-29,Alpha Headphones,72,329,79.0
2025-10-30,Alpha Headphones,79,250,79.0
2025-10-31,Alpha Headphones,88,162,79.0
2025-11-01,Alpha Headphones,105,57,79.0
2025-11-02,Alpha Headphones,83,0,79.0
